filename,Lat,Lon,response,n
../EU chronologies/Czech_RWL KR KH//KHF CDt.rwl,50.69747093,13.5705516,Yes,21
../EU chronologies/Czech_RWL KR KH//KHH CDt.rwl,50.3970285,12.7945259,Yes,21
../EU chronologies/Czech_RWL KR KH//KHM CDt.rwl,50.3883908,13.00366,Yes,22
../EU chronologies/Czech_RWL KR KH//KHS CDt.rwl,50.5347674,13.2230808,No,21
../EU chronologies/Czech_RWL KR KH//KRF CDt.rwl,50.726689,15.62114,No,21
../EU chronologies/Czech_RWL KR KH//KRKT CDt.rwl,50.62878,15.87939,Yes,20
../EU chronologies/Czech_RWL KR KH//KRKZ CDt.rwl,50.76396,15.45061,No,17
../EU chronologies/EU Preped Chron/Czech Republic/czec005.rwl,48.6667,14.7,No,100
../EU chronologies/EU Preped Chron/Czech Republic/czec006.rwl,50.75,15.66,Yes,143
../EU chronologies/EU Preped Chron/Czech Republic/czec007.rwl,50.73,15.67,Yes,43
../EU chronologies/EU Preped Chron/Czech Republic/czec010.rwl,50.72,15.7,Yes,28
../EU chronologies/EU Preped Chron/Czech Republic/czec012.rwl,48.87,13.79,No,36
../EU chronologies/EU Preped Chron/Czech Republic/czec014.rwl,50.079523,17.214055,No,44
../EU chronologies/EU Preped Chron/Czech Republic/czec015.rwl,50.850325,14.358207,No,38
../EU chronologies/EU Preped Chron/Czech Republic/czec016.rwl,50.203864,16.845659,Yes,41
../EU chronologies/EU Preped Chron/Czech Republic/czec017.rwl,49.203583,13.112284,Yes,40
../EU chronologies/EU Preped Chron/Czech Republic/czec019.rwl,49.79232,15.7547,No,42
../EU chronologies/EU Preped Chron/Czech Republic/czec021.rwl,50.043017,13.297917,No,41
../EU chronologies/EU Preped Chron/Czech Republic/czec023.rwl,49.136701,13.502261,No,40
../EU chronologies/EU Preped Chron/Czech Republic/czec025.rwl,50.756345,15.644769,No,44
../EU chronologies/EU Preped Chron/Czech Republic/czec026.rwl,50.889617,14.2598,Yes,35
../EU chronologies/EU Preped Chron/Germany/germ057.rwl,49.2,12.38,No,30
../EU chronologies/EU Preped Chron/Germany/germ058.rwl,49.18,12.65,No,32
../EU chronologies/EU Preped Chron/Germany/germ059.rwl,48.92,12.62,No,21
../EU chronologies/EU Preped Chron/Germany/germ159.rwl,51.15,8.9833,No,12
../EU chronologies/EU Preped Chron/Germany/germ189.rwl,50.7167,8.1,No,16
../EU chronologies/EU Preped Chron/Germany/germ192.rwl,50.85,8.2167,No,7
../EU chronologies/EU Preped Chron/Germany/germ208.rwl,51.1833,8.4333,No,14
../EU chronologies/EU Preped Chron/Germany/germ227.rwl,51.0756,8.04,No,92
../EU chronologies/EU Preped Chron/Germany/germ230.rwl,50.22194,8.4472,No,60
../EU chronologies/EU Preped Chron/Germany/germ233.rwl,50.05,8.01,No,43
../EU chronologies/EU Preped Chron/Germany/germ234.rwl,50.04925,8.0083,No,91
../EU chronologies/EU Preped Chron/Germany/germ236.rwl,50.0553,7.5103,No,42
../EU chronologies/EU Preped Chron/Germany/germ237.rwl,50.0553,7.5103,No,73
../EU chronologies/EU Preped Chron/Germany/germ238.rwl,49.34444,8.11555,No,79
../EU chronologies/EU Preped Chron/Germany/germ241.rwl,50.4393,7.7555,No,50
../EU chronologies/EU Preped Chron/Germany/germ242.rwl,50.68778,7.94889,No,85
../EU chronologies/EU Preped Chron/Germany/germ243.rwl,50.4393,7.75555,No,80
../EU chronologies/EU Preped Chron/Germany/germ244.rwl,50.81,7.97416,No,90
../EU chronologies/EU Preped Chron/Germany/germ245.rwl,50.69063,8.159,No,93
../EU chronologies/EU Preped Chron/Germany/germ246.rwl,50.70145,8.2329,No,110
../EU chronologies/EU Preped Chron/Poland/pola022.rwl,49.5833,19.05,No,46
../EU chronologies/EU Preped Chron/Poland/pola023.rwl,49.2833,19.0833,No,50
../EU chronologies/EU Preped Chron/Poland/pola025.rwl,49.25,20.0333,No,36
../EU chronologies/EU Preped Chron/Poland/pola026.rwl,49.2333,20.0833,No,38
../EU chronologies/EU Preped Chron/Poland/pola027.rwl,49.25,20.0333,No,57
../EU chronologies/EU Preped Chron/Poland/pola028.rwl,49.25,20.0667,No,24
../EU chronologies/EU Preped Chron/Poland/pola029.rwl,49.55,20.1333,No,62
../EU chronologies/EU Preped Chron/Poland/pola030.rwl,49.5167,19.0333,No,61
../EU chronologies/EU Preped Chron/Poland/pola031.rwl,49.2167,20.0833,No,62
../EU chronologies/EU Preped Chron/Poland/pola032.rwl,49.2333,20.0833,No,81
../EU chronologies/EU Preped Chron/Poland/pola033.rwl,49.2333,20.0833,No,128
../EU chronologies/EU Preped Chron/Poland/pola035.rwl,49.2333,20.0833,No,47
../EU chronologies/EU Preped Chron/Poland/pola037.rwl,49.25,20.0167,No,81
../EU chronologies/EU Preped Chron/Slovakia/svk002.rwl,48.9,19.6,No,99
../EU chronologies/EU Preped Chron/Slovakia/svk004.rwl,49.15,20.01,No,16
../EU chronologies/EU Preped Chron/Slovakia/svk005.rwl,48.8,19.6,No,22
../EU chronologies/EU Preped Chron/Slovakia/svk007.rwl,48.934338,19.605071,No,43
../EU chronologies/EU Preped Chron/Slovakia/svk008.rwl,48.9533,20.42888,Yes,42
../EU chronologies/EU Preped Chron/Slovakia/svk009.rwl,49.216688,20.162643,No,60
../EU chronologies/EU Preped Chron/Slovakia/svk013.rwl,48.985789,19.222849,Yes,48
../EU chronologies/EU Preped Chron/Switzerland/swit368.rwl,47.22852,8.92916,No,27
../EU chronologies/EU Preped Chron/Switzerland/swit369.rwl,47.28673,8.95479,No,24
../EU chronologies/EU Preped Chron/Switzerland/swit370.rwl,47.25386,8.93852,No,26
../EU chronologies/EU Preped Chron/Switzerland/swit371.rwl,47.16697,8.72347,No,31
../EU chronologies/EU Preped Chron/Switzerland/swit372.rwl,47.04095,8.737,No,19
../EU chronologies/EU Preped Chron/Switzerland/swit373.rwl,46.92306,9.16675,No,25
../EU chronologies/EU Preped Chron/Switzerland/swit374.rwl,47.05598,8.76291,Yes,15
../EU chronologies/EU Preped Chron/Switzerland/swit375.rwl,47.00433,9.10381,No,23
../EU chronologies/EU Preped Chron/Switzerland/swit376.rwl,47.0316,9.0611,No,30
../EU chronologies/EU Preped Chron/Switzerland/swit377.rwl,47.06697,8.82121,Yes,30
../EU chronologies/EU Preped Chron/Switzerland/swit378.rwl,47.00137,9.09612,No,30
../EU chronologies/EU Preped Chron/Switzerland/swit379.rwl,46.93025,9.21343,No,32
../EU chronologies/EU Preped Chron/Switzerland/swit380.rwl,47.2525,9.04131,No,30
../EU chronologies/EU Preped Chron/Switzerland/swit381.rwl,47.24067,8.56923,No,30
../EU chronologies/EU Preped Chron/Switzerland/swit382.rwl,46.89649,8.9425,No,29
../EU chronologies/EU Preped Chron/Switzerland/swit390.rwl,47.180832,9.176242,No,12
../EU chronologies/EU Preped Chron/Switzerland/swit392.rwl,47.014324,8.739395,No,15
../EU chronologies/EU Preped Chron/Switzerland/swit394.rwl,47.069881,8.677936,No,15
../EU chronologies/EU Preped Chron/Switzerland/swit396.rwl,46.726701,8.902934,No,14
../EU chronologies/EU Preped Chron/Switzerland/swit398.rwl,46.653633,8.985493,No,14
../EU chronologies/EU Preped Chron/Switzerland/swit400.rwl,46.571349,9.418137,No,15
../EU chronologies/EU Preped Chron/Switzerland/swit402.rwl,46.559829,9.35523,No,14
../EU chronologies/EU Preped Chron/Switzerland/swit404.rwl,46.6572,9.593863,No,15
../EU chronologies/EU Preped Chron/Switzerland/swit406.rwl,46.641644,9.724754,No,15
../EU chronologies/EU Preped Chron/Switzerland/swit408.rwl,46.555732,9.607258,No,72
../EU chronologies/EU Preped Chron/Switzerland/swit409.rwl,46.664743,8.773974,No,26
../EU chronologies/EU Preped Chron/Switzerland/swit410.rwl,46.770948,9.877178,No,67
../EU chronologies/EU Preped Chron/Switzerland/swit412.rwl,46.817786,8.24053,No,62
